GP,Driver,Stint,Compound,StintLength,FreshTyre
Austrian Grand Prix,ALO,3,MEDIUM,29,0
Austrian Grand Prix,ALO,4,MEDIUM,27,1
Austrian Grand Prix,BOT,1,HARD,2,1
Austrian Grand Prix,BOT,2,HARD,21,0
Austrian Grand Prix,BOT,3,MEDIUM,19,1
Austrian Grand Prix,BOT,4,HARD,30,1
Austrian Grand Prix,DEV,1,MEDIUM,2,1
Austrian Grand Prix,DEV,2,MEDIUM,12,0
Austrian Grand Prix,DEV,3,HARD,25,1
Austrian Grand Prix,DEV,4,MEDIUM,33,1
Austrian Grand Prix,GAS,1,MEDIUM,2,1
Austrian Grand Prix,GAS,2,MEDIUM,14,0
Austrian Grand Prix,GAS,3,HARD,30,1
Austrian Grand Prix,GAS,4,MEDIUM,27,1
Austrian Grand Prix,HAM,1,MEDIUM,2,1
Austrian Grand Prix,HAM,2,MEDIUM,14,0
Austrian Grand Prix,HAM,3,HARD,28,1
Austrian Grand Prix,HAM,4,MEDIUM,29,1
Austrian Grand Prix,HUL,1,MEDIUM,5,0
Austrian Grand Prix,HUL,2,MEDIUM,14,0
Austrian Grand Prix,HUL,3,HARD,1,1
Austrian Grand Prix,LEC,1,MEDIUM,2,1
Austrian Grand Prix,LEC,2,MEDIUM,15,0
Austrian Grand Prix,LEC,3,MEDIUM,32,1
Austrian Grand Prix,LEC,4,HARD,24,1
Austrian Grand Prix,MAG,1,HARD,1,1
Austrian Grand Prix,MAG,2,MEDIUM,1,1
Austrian Grand Prix,MAG,3,HARD,31,1
Austrian Grand Prix,MAG,4,HARD,37,0
Austrian Grand Prix,NOR,1,MEDIUM,2,1
Austrian Grand Prix,NOR,2,MEDIUM,14,0
Austrian Grand Prix,NOR,3,HARD,27,1
Austrian Grand Prix,NOR,4,HARD,30,1
Austrian Grand Prix,OCO,1,MEDIUM,2,1
Austrian Grand Prix,OCO,2,MEDIUM,14,0
Austrian Grand Prix,OCO,3,HARD,26,1
Austrian Grand Prix,OCO,4,HARD,30,1
Austrian Grand Prix,PER,1,MEDIUM,2,1
Austrian Grand Prix,PER,2,MEDIUM,25,0
Austrian Grand Prix,PER,3,MEDIUM,25,1
Austrian Grand Prix,PER,4,HARD,21,1
Austrian Grand Prix,PIA,1,MEDIUM,2,1
Austrian Grand Prix,PIA,2,MEDIUM,14,0
Austrian Grand Prix,PIA,3,HARD,8,1
Austrian Grand Prix,PIA,4,HARD,19,1
Austrian Grand Prix,PIA,5,MEDIUM,29,1
Austrian Grand Prix,RUS,1,MEDIUM,2,1
Austrian Grand Prix,RUS,2,MEDIUM,14,0
Austrian Grand Prix,RUS,3,HARD,27,1
Austrian Grand Prix,RUS,4,MEDIUM,30,1
Austrian Grand Prix,SAI,1,MEDIUM,2,1
Austrian Grand Prix,SAI,2,MEDIUM,15,0
Austrian Grand Prix,SAI,3,MEDIUM,30,1
Austrian Grand Prix,SAI,4,HARD,26,1
Austrian Grand Prix,SAR,1,MEDIUM,2,1
Austrian Grand Prix,SAR,2,MEDIUM,14,0
Austrian Grand Prix,SAR,3,HARD,29,1
Austrian Grand Prix,SAR,4,HARD,27,1
Austrian Grand Prix,STR,1,MEDIUM,2,1
Austrian Grand Prix,STR,2,MEDIUM,15,0
Austrian Grand Prix,STR,3,HARD,21,0
Austrian Grand Prix,STR,4,HARD,18,1
Austrian Grand Prix,STR,5,MEDIUM,17,1
Austrian Grand Prix,TSU,1,MEDIUM,1,1
Austrian Grand Prix,TSU,2,HARD,1,1
Austrian Grand Prix,TSU,3,HARD,22,0
Austrian Grand Prix,TSU,4,HARD,20,1
Austrian Grand Prix,TSU,5,MEDIUM,27,1
Austrian Grand Prix,VER,1,MEDIUM,2,1
Austrian Grand Prix,VER,2,MEDIUM,24,0
Austrian Grand Prix,VER,3,HARD,25,1
Austrian Grand Prix,VER,4,MEDIUM,20,1
Austrian Grand Prix,VER,5,SOFT,5,0
Austrian Grand Prix,ZHO,1,MEDIUM,2,1
Austrian Grand Prix,ZHO,2,MEDIUM,8,0
Austrian Grand Prix,ZHO,3,HARD,30,1
Austrian Grand Prix,ZHO,4,HARD,32,1
Azerbaijan Grand Prix,ALB,1,MEDIUM,7,1
Azerbaijan Grand Prix,ALB,2,HARD,44,1
Azerbaijan Grand Prix,ALO,1,MEDIUM,10,0
Azerbaijan Grand Prix,ALO,2,HARD,40,0
Azerbaijan Grand Prix,BOT,1,MEDIUM,6,1
Azerbaijan Grand Prix,BOT,2,HARD,6,1
Azerbaijan Grand Prix,BOT,3,HARD,22,1
Azerbaijan Grand Prix,BOT,4,MEDIUM,16,1
Azerbaijan Grand Prix,DEV,1,HARD,9,0
Azerbaijan Grand Prix,GAS,1,MEDIUM,5,1
Azerbaijan Grand Prix,GAS,2,HARD,18,1
Azerbaijan Grand Prix,GAS,3,HARD,28,1
Azerbaijan Grand Prix,HAM,1,MEDIUM,9,1
Azerbaijan Grand Prix,HAM,2,HARD,42,1
Azerbaijan Grand Prix,HUL,1,HARD,49,1
Azerbaijan Grand Prix,HUL,2,SOFT,1,1
Azerbaijan Grand Prix,LEC,1,MEDIUM,10,1
Azerbaijan Grand Prix,LEC,2,HARD,40,1
Azerbaijan Grand Prix,MAG,1,MEDIUM,10,1
Azerbaijan Grand Prix,MAG,2,HARD,41,1
Azerbaijan Grand Prix,NOR,1,MEDIUM,9,1
Azerbaijan Grand Prix,NOR,2,HARD,42,1
Azerbaijan Grand Prix,OCO,1,HARD,50,1
Azerbaijan Grand Prix,OCO,2,SOFT,1,1
Azerbaijan Grand Prix,PER,1,MEDIUM,10,1
Azerbaijan Grand Prix,PER,2,HARD,40,1
Azerbaijan Grand Prix,PIA,1,MEDIUM,8,1
Azerbaijan Grand Prix,PIA,2,HARD,43,1
Azerbaijan Grand Prix,RUS,1,MEDIUM,10,1
Azerbaijan Grand Prix,RUS,2,HARD,38,1
Azerbaijan Grand Prix,RUS,3,SOFT,2,1
Azerbaijan Grand Prix,SAI,1,MEDIUM,10,1
Azerbaijan Grand Prix,SAI,2,HARD,40,1
Azerbaijan Grand Prix,SAR,1,MEDIUM,8,1
Azerbaijan Grand Prix,SAR,2,HARD,43,1
Azerbaijan Grand Prix,STR,1,MEDIUM,10,0
Azerbaijan Grand Prix,STR,2,HARD,43,0
Azerbaijan Grand Prix,TSU,1,MEDIUM,8,1
Azerbaijan Grand Prix,TSU,2,HARD,43,0
Azerbaijan Grand Prix,VER,1,MEDIUM,10,1
Azerbaijan Grand Prix,VER,2,HARD,41,1
Azerbaijan Grand Prix,ZHO,1,MEDIUM,10,1
Azerbaijan Grand Prix,ZHO,2,HARD,25,1
Bahrain Grand Prix,ALB,1,SOFT,11,1
Bahrain Grand Prix,ALB,2,SOFT,15,1
Bahrain Grand Prix,ALB,3,HARD,14,1
Bahrain Grand Prix,ALB,4,SOFT,17,0
Bahrain Grand Prix,ALO,1,SOFT,17,0
Bahrain Grand Prix,ALO,2,HARD,20,1
Bahrain Grand Prix,ALO,3,HARD,23,1
Bahrain Grand Prix,BOT,1,SOFT,11,1
Bahrain Grand Prix,BOT,2,HARD,18,1
Bahrain Grand Prix,BOT,3,HARD,28,1
Bahrain Grand Prix,DEV,1,SOFT,11,1
Bahrain Grand Prix,DEV,2,HARD,16,1
Bahrain Grand Prix,DEV,3,HARD,29,1
Bahrain Grand Prix,GAS,1,SOFT,9,1
Bahrain Grand Prix,GAS,2,HARD,16,1
Bahrain Grand Prix,GAS,3,HARD,15,1
Bahrain Grand Prix,GAS,4,SOFT,17,1
Bahrain Grand Prix,HAM,1,SOFT,15,0
Bahrain Grand Prix,HAM,2,HARD,18,1
Bahrain Grand Prix,HAM,3,HARD,27,1
Bahrain Grand Prix,HUL,1,SOFT,14,0
Bahrain Grand Prix,HUL,2,HARD,15,1
Bahrain Grand Prix,HUL,3,HARD,14,1
Bahrain Grand Prix,HUL,4,SOFT,19,0
Bahrain Grand Prix,LEC,1,SOFT,13,1
Bahrain Grand Prix,LEC,2,HARD,20,1
Bahrain Grand Prix,LEC,3,HARD,6,1
Bahrain Grand Prix,MAG,1,HARD,15,1
Bahrain Grand Prix,MAG,2,HARD,14,1
Bahrain Grand Prix,MAG,3,SOFT,11,1
Bahrain Grand Prix,MAG,4,SOFT,16,1
Bahrain Grand Prix,NOR,1,SOFT,10,1
Bahrain Grand Prix,NOR,2,HARD,7,1
Bahrain Grand Prix,NOR,3,SOFT,13,0
Bahrain Grand Prix,NOR,4,MEDIUM,10,1
Bahrain Grand Prix,NOR,5,HARD,10,1
Bahrain Grand Prix,NOR,6,SOFT,11,0
Bahrain Grand Prix,NOR,7,SOFT,7,0
Bahrain Grand Prix,OCO,1,SOFT,15,0
Bahrain Grand Prix,OCO,2,HARD,3,1
Bahrain Grand Prix,OCO,3,HARD,20,0
Bahrain Grand Prix,OCO,4,HARD,9,1
Bahrain Grand Prix,PER,1,SOFT,20,0
Bahrain Grand Prix,PER,2,SOFT,19,0
Bahrain Grand Prix,PER,3,HARD,23,1
Bahrain Grand Prix,PIA,1,SOFT,13,1
Bahrain Grand Prix,RUS,1,SOFT,16,0
Bahrain Grand Prix,RUS,2,HARD,18,1
Bahrain Grand Prix,RUS,3,HARD,26,1
Bahrain Grand Prix,SAI,1,SOFT,16,0
Bahrain Grand Prix,SAI,2,HARD,18,1
Bahrain Grand Prix,SAI,3,HARD,26,1
Bahrain Grand Prix,SAR,1,SOFT,12,1
Bahrain Grand Prix,SAR,2,SOFT,18,1
Bahrain Grand Prix,SAR,3,HARD,10,1
Bahrain Grand Prix,SAR,4,SOFT,16,1
Bahrain Grand Prix,STR,1,SOFT,18,0
Bahrain Grand Prix,STR,2,HARD,15,1
Bahrain Grand Prix,STR,3,HARD,27,1
Bahrain Grand Prix,TSU,1,SOFT,10,1
Bahrain Grand Prix,TSU,2,HARD,16,1
Bahrain Grand Prix,TSU,3,HARD,14,1
Bahrain Grand Prix,TSU,4,SOFT,20,0
Bahrain Grand Prix,VER,1,SOFT,17,0
Bahrain Grand Prix,VER,2,SOFT,22,0
Bahrain Grand Prix,VER,3,HARD,21,1
Bahrain Grand Prix,ZHO,1,SOFT,12,1
Bahrain Grand Prix,ZHO,2,HARD,20,1
Bahrain Grand Prix,ZHO,3,SOFT,25,0
Bahrain Grand Prix,ZHO,4,SOFT,5,0
Belgian Grand Prix,ALB,1,SOFT,7,1
Belgian Grand Prix,ALB,2,MEDIUM,16,1
Belgian Grand Prix,ALB,3,MEDIUM,10,1
Belgian Grand Prix,ALB,4,SOFT,11,1
Belgian Grand Prix,ALO,1,MEDIUM,10,1
Belgian Grand Prix,ALO,2,MEDIUM,19,1
Belgian Grand Prix,ALO,3,SOFT,15,1
Belgian Grand Prix,BOT,1,SOFT,6,1
Belgian Grand Prix,BOT,2,MEDIUM,18,1
Belgian Grand Prix,BOT,3,MEDIUM,20,1
Belgian Grand Prix,GAS,1,SOFT,23,1
Belgian Grand Prix,GAS,2,MEDIUM,21,1
Belgian Grand Prix,HAM,1,SOFT,12,1
Belgian Grand Prix,HAM,2,MEDIUM,15,1
Belgian Grand Prix,HAM,3,SOFT,15,1
Belgian Grand Prix,HAM,4,MEDIUM,2,1
Belgian Grand Prix,HUL,1,MEDIUM,12,1
Belgian Grand Prix,HUL,2,SOFT,12,1
Belgian Grand Prix,HUL,3,SOFT,20,1
Belgian Grand Prix,LEC,1,SOFT,13,1
Belgian Grand Prix,LEC,2,MEDIUM,15,1
Belgian Grand Prix,LEC,3,SOFT,16,1
Belgian Grand Prix,MAG,1,SOFT,5,1
Belgian Grand Prix,MAG,2,MEDIUM,20,1
Belgian Grand Prix,MAG,3,MEDIUM,19,1
Belgian Grand Prix,NOR,1,MEDIUM,5,1
Belgian Grand Prix,NOR,2,HARD,12,1
Belgian Grand Prix,NOR,3,SOFT,27,1
Belgian Grand Prix,OCO,1,SOFT,6,1
Belgian Grand Prix,OCO,2,MEDIUM,19,1
Belgian Grand Prix,OCO,3,SOFT,19,1
Belgian Grand Prix,PER,1,SOFT,13,1
Belgian Grand Prix,PER,2,MEDIUM,16,1
Belgian Grand Prix,PER,3,SOFT,15,1
Belgian Grand Prix,RIC,1,SOFT,5,1
Belgian Grand Prix,RIC,2,MEDIUM,17,1
Belgian Grand Prix,RIC,3,MEDIUM,22,1
Belgian Grand Prix,RUS,1,MEDIUM,22,1
Belgian Grand Prix,RUS,2,SOFT,22,1
Belgian Grand Prix,SAI,1,SOFT,7,1
Belgian Grand Prix,SAI,2,MEDIUM,16,1
Belgian Grand Prix,SAR,1,SOFT,8,1
Belgian Grand Prix,SAR,2,MEDIUM,16,1
Belgian Grand Prix,SAR,3,MEDIUM,10,1
Belgian Grand Prix,SAR,4,SOFT,10,1
Belgian Grand Prix,STR,1,MEDIUM,20,1
Belgian Grand Prix,STR,2,SOFT,24,1
Belgian Grand Prix,TSU,1,MEDIUM,9,1
Belgian Grand Prix,TSU,2,MEDIUM,15,1
Belgian Grand Prix,TSU,3,SOFT,20,1
Belgian Grand Prix,VER,1,SOFT,14,1
Belgian Grand Prix,VER,2,MEDIUM,16,1
Belgian Grand Prix,VER,3,SOFT,14,1
Belgian Grand Prix,ZHO,1,SOFT,7,1
Belgian Grand Prix,ZHO,2,MEDIUM,18,1
Belgian Grand Prix,ZHO,3,SOFT,19,1
British Grand Prix,ALB,1,MEDIUM,32,1
British Grand Prix,ALB,2,SOFT,24,0
British Grand Prix,ALO,1,MEDIUM,34,0
British Grand Prix,ALO,2,SOFT,22,0
British Grand Prix,BOT,1,HARD,32,1
British Grand Prix,BOT,2,SOFT,20,1
British Grand Prix,DEV,1,SOFT,27,1
British Grand Prix,DEV,2,MEDIUM,5,1
British Grand Prix,DEV,3,SOFT,20,1
British Grand Prix,GAS,1,MEDIUM,31,1
British Grand Prix,GAS,2,SOFT,17,0
British Grand Prix,HAM,1,MEDIUM,33,1
British Grand Prix,HAM,2,SOFT,22,0
British Grand Prix,HUL,1,HARD,7,1
British Grand Prix,HUL,2,MEDIUM,25,1
British Grand Prix,HUL,3,SOFT,20,1
British Grand Prix,LEC,1,MEDIUM,18,1
British Grand Prix,LEC,2,HARD,14,1
British Grand Prix,LEC,3,MEDIUM,20,1
British Grand Prix,MAG,1,MEDIUM,31,1
British Grand Prix,NOR,1,MEDIUM,33,1
British Grand Prix,NOR,2,HARD,19,1
British Grand Prix,OCO,1,SOFT,9,1
British Grand Prix,PER,1,MEDIUM,28,1
British Grand Prix,PER,2,SOFT,24,1
British Grand Prix,PIA,1,MEDIUM,29,1
British Grand Prix,PIA,2,HARD,23,1
British Grand Prix,RUS,1,SOFT,31,0
British Grand Prix,RUS,2,MEDIUM,24,1
British Grand Prix,SAI,1,MEDIUM,26,1
British Grand Prix,SAI,2,HARD,26,1
British Grand Prix,SAR,1,MEDIUM,29,1
British Grand Prix,SAR,2,SOFT,23,1
British Grand Prix,STR,1,MEDIUM,32,0
British Grand Prix,STR,2,SOFT,24,0
British Grand Prix,TSU,1,SOFT,14,1
British Grand Prix,TSU,2,HARD,18,1
British Grand Prix,TSU,3,SOFT,20,1
British Grand Prix,VER,1,MEDIUM,33,1
British Grand Prix,VER,2,SOFT,22,0
British Grand Prix,ZHO,1,MEDIUM,24,1
British Grand Prix,ZHO,2,HARD,9,1
British Grand Prix,ZHO,3,SOFT,2,1
British Grand Prix,ZHO,4,SOFT,19,0
Canadian Grand Prix,ALB,1,MEDIUM,13,0
Canadian Grand Prix,ALB,2,HARD,58,1
Canadian Grand Prix,ALO,1,MEDIUM,12,1
Canadian Grand Prix,ALO,2,HARD,29,0
Canadian Grand Prix,ALO,3,HARD,29,1
Canadian Grand Prix,BOT,1,HARD,36,1
Canadian Grand Prix,BOT,2,MEDIUM,34,1
Canadian Grand Prix,DEV,1,MEDIUM,11,1
Canadian Grand Prix,DEV,2,HARD,39,1
Canadian Grand Prix,DEV,3,HARD,19,1
Canadian Grand Prix,GAS,1,SOFT,10,1
Canadian Grand Prix,GAS,2,HARD,23,0
Canadian Grand Prix,GAS,3,HARD,37,1
Canadian Grand Prix,HAM,1,MEDIUM,12,1
Canadian Grand Prix,HAM,2,HARD,28,1
Canadian Grand Prix,HAM,3,MEDIUM,30,1
Canadian Grand Prix,HUL,1,MEDIUM,11,1
Canadian Grand Prix,HUL,2,HARD,20,1
Canadian Grand Prix,HUL,3,HARD,38,1
Canadian Grand Prix,LEC,1,MEDIUM,39,1
Canadian Grand Prix,LEC,2,HARD,31,1
Canadian Grand Prix,MAG,1,HARD,34,1
Canadian Grand Prix,MAG,2,MEDIUM,18,1
Canadian Grand Prix,MAG,3,MEDIUM,16,1
Canadian Grand Prix,NOR,1,MEDIUM,12,1
Canadian Grand Prix,NOR,2,HARD,23,1
Canadian Grand Prix,NOR,3,HARD,36,0
Canadian Grand Prix,OCO,1,MEDIUM,12,1
Canadian Grand Prix,OCO,2,HARD,24,1
Canadian Grand Prix,OCO,3,HARD,34,1
Canadian Grand Prix,PER,1,HARD,37,1
Canadian Grand Prix,PER,2,MEDIUM,31,1
Canadian Grand Prix,PER,3,SOFT,2,1
Canadian Grand Prix,PIA,1,MEDIUM,12,1
Canadian Grand Prix,PIA,2,HARD,25,1
Canadian Grand Prix,PIA,3,HARD,33,0
Canadian Grand Prix,RUS,1,MEDIUM,11,1
Canadian Grand Prix,RUS,2,HARD,41,1
Canadian Grand Prix,SAI,1,MEDIUM,38,1
Canadian Grand Prix,SAI,2,HARD,32,1
Canadian Grand Prix,SAR,1,MEDIUM,6,1
Canadian Grand Prix,STR,1,MEDIUM,11,1
Canadian Grand Prix,STR,2,HARD,16,0
Canadian Grand Prix,STR,3,HARD,43,1
Canadian Grand Prix,TSU,1,MEDIUM,1,1
Canadian Grand Prix,TSU,2,HARD,34,1
Canadian Grand Prix,VER,1,MEDIUM,12,1
Canadian Grand Prix,VER,2,HARD,30,1
Canadian Grand Prix,VER,3,MEDIUM,28,1
Canadian Grand Prix,ZHO,1,MEDIUM,12,1
Canadian Grand Prix,ZHO,2,HARD,20,1
Canadian Grand Prix,ZHO,3,HARD,37,1
Dutch Grand Prix,ALB,1,SOFT,44,1
Dutch Grand Prix,ALB,2,MEDIUM,17,1
Dutch Grand Prix,ALB,3,INTERMEDIATE,7,0
Dutch Grand Prix,ALB,5,INTERMEDIATE,14,0
Dutch Grand Prix,ALO,1,SOFT,2,1
Dutch Grand Prix,ALO,2,INTERMEDIATE,8,1
Dutch Grand Prix,ALO,3,SOFT,38,1
Dutch Grand Prix,ALO,4,SOFT,15,0
Dutch Grand Prix,ALO,5,INTERMEDIATE,5,0
Dutch Grand Prix,ALO,6,INTERMEDIATE,14,0
Dutch Grand Prix,BOT,1,SOFT,16,1
Dutch Grand Prix,BOT,2,MEDIUM,31,1
Dutch Grand Prix,BOT,3,SOFT,12,1
Dutch Grand Prix,BOT,4,INTERMEDIATE,4,1
Dutch Grand Prix,BOT,6,INTERMEDIATE,9,0
Dutch Grand Prix,GAS,1,SOFT,1,1
Dutch Grand Prix,GAS,2,INTERMEDIATE,16,0
Dutch Grand Prix,GAS,3,SOFT,35,1
Dutch Grand Prix,GAS,4,SOFT,14,1
Dutch Grand Prix,GAS,5,INTERMEDIATE,3,1
Dutch Grand Prix,GAS,6,INTERMEDIATE,12,0
Dutch Grand Prix,HAM,1,MEDIUM,3,1
Dutch Grand Prix,HAM,2,INTERMEDIATE,6,1
Dutch Grand Prix,HAM,3,SOFT,36,1
Dutch Grand Prix,HAM,4,SOFT,15,1
Dutch Grand Prix,HAM,5,INTERMEDIATE,9,0
Dutch Grand Prix,HAM,6,INTERMEDIATE,14,0
Dutch Grand Prix,HUL,1,SOFT,16,1
Dutch Grand Prix,HUL,2,MEDIUM,32,1
Dutch Grand Prix,HUL,3,SOFT,12,1
Dutch Grand Prix,HUL,4,INTERMEDIATE,6,0
Dutch Grand Prix,HUL,6,INTERMEDIATE,13,0
Dutch Grand Prix,LAW,1,SOFT,1,1
Dutch Grand Prix,LAW,2,INTERMEDIATE,14,0
Dutch Grand Prix,LAW,3,SOFT,7,1
Dutch Grand Prix,LAW,4,MEDIUM,29,1
Dutch Grand Prix,LAW,5,SOFT,13,1
Dutch Grand Prix,LAW,6,INTERMEDIATE,3,1
Dutch Grand Prix,LAW,8,INTERMEDIATE,16,0
Dutch Grand Prix,LEC,1,SOFT,1,1
Dutch Grand Prix,LEC,2,INTERMEDIATE,10,1
Dutch Grand Prix,LEC,3,SOFT,30,1
Dutch Grand Prix,MAG,1,SOFT,1,1
Dutch Grand Prix,MAG,2,INTERMEDIATE,8,1
Dutch Grand Prix,MAG,3,SOFT,26,1
Dutch Grand Prix,MAG,4,MEDIUM,25,1
Dutch Grand Prix,MAG,5,INTERMEDIATE,2,1
Dutch Grand Prix,MAG,7,INTERMEDIATE,12,0
Dutch Grand Prix,NOR,1,SOFT,3,1
Dutch Grand Prix,NOR,2,INTERMEDIATE,7,1
Dutch Grand Prix,NOR,3,SOFT,33,0
Dutch Grand Prix,NOR,4,SOFT,21,0
Dutch Grand Prix,NOR,5,INTERMEDIATE,7,0
Dutch Grand Prix,NOR,7,INTERMEDIATE,20,0
Dutch Grand Prix,OCO,1,SOFT,2,1
Dutch Grand Prix,OCO,2,INTERMEDIATE,8,1
Dutch Grand Prix,OCO,3,SOFT,33,1
Dutch Grand Prix,OCO,4,SOFT,18,1
Dutch Grand Prix,OCO,5,WET,2,1
Dutch Grand Prix,OCO,7,INTERMEDIATE,9,0
Dutch Grand Prix,PER,1,SOFT,1,1
Dutch Grand Prix,PER,2,INTERMEDIATE,11,1
Dutch Grand Prix,PER,3,SOFT,33,1
Dutch Grand Prix,PER,4,SOFT,16,0
Dutch Grand Prix,PER,5,INTERMEDIATE,9,0
Dutch Grand Prix,PER,7,INTERMEDIATE,15,0
Dutch Grand Prix,PIA,1,SOFT,15,1
Dutch Grand Prix,PIA,2,SOFT,31,1
Dutch Grand Prix,PIA,3,MEDIUM,14,1
Dutch Grand Prix,PIA,4,INTERMEDIATE,8,0
Dutch Grand Prix,PIA,6,INTERMEDIATE,13,0
Dutch Grand Prix,RUS,1,SOFT,4,1
Dutch Grand Prix,RUS,2,INTERMEDIATE,6,1
Dutch Grand Prix,RUS,3,SOFT,6,1
Dutch Grand Prix,RUS,4,HARD,44,1
Dutch Grand Prix,RUS,5,INTERMEDIATE,15,0
Dutch Grand Prix,RUS,7,INTERMEDIATE,9,0
Dutch Grand Prix,RUS,8,INTERMEDIATE,11,0
Dutch Grand Prix,SAI,1,SOFT,2,1
Dutch Grand Prix,SAI,2,INTERMEDIATE,8,1
Dutch Grand Prix,SAI,3,SOFT,31,1
Dutch Grand Prix,SAI,4,SOFT,21,0
Dutch Grand Prix,SAI,5,INTERMEDIATE,18,0
Dutch Grand Prix,SAI,6,INTERMEDIATE,12,0
Dutch Grand Prix,SAR,1,SOFT,14,1
Dutch Grand Prix,STR,1,SOFT,4,1
Dutch Grand Prix,STR,2,INTERMEDIATE,5,1
Dutch Grand Prix,STR,3,SOFT,7,1
Dutch Grand Prix,STR,4,MEDIUM,18,1
Dutch Grand Prix,STR,5,SOFT,26,1
Dutch Grand Prix,STR,6,INTERMEDIATE,8,0
Dutch Grand Prix,STR,8,INTERMEDIATE,14,0
Dutch Grand Prix,TSU,1,SOFT,1,1
Dutch Grand Prix,TSU,2,INTERMEDIATE,14,0
Dutch Grand Prix,TSU,3,SOFT,50,1
Dutch Grand Prix,TSU,4,INTERMEDIATE,8,0
Dutch Grand Prix,TSU,6,INTERMEDIATE,14,0
Dutch Grand Prix,VER,1,SOFT,2,1
Dutch Grand Prix,VER,2,INTERMEDIATE,9,1
Dutch Grand Prix,VER,3,SOFT,38,1
Dutch Grand Prix,VER,4,SOFT,13,0
Dutch Grand Prix,VER,5,INTERMEDIATE,14,0
Dutch Grand Prix,VER,7,INTERMEDIATE,12,0
Dutch Grand Prix,ZHO,1,SOFT,1,1
Dutch Grand Prix,ZHO,2,INTERMEDIATE,9,1
Dutch Grand Prix,ZHO,3,MEDIUM,27,1
Dutch Grand Prix,ZHO,4,SOFT,23,1
Dutch Grand Prix,ZHO,5,INTERMEDIATE,2,1
Hungarian Grand Prix,ALB,1,MEDIUM,8,1
Hungarian Grand Prix,ALB,2,HARD,26,0
Hungarian Grand Prix,ALB,3,HARD,38,1
Hungarian Grand Prix,ALO,1,MEDIUM,23,0
Hungarian Grand Prix,ALO,2,HARD,27,0
Hungarian Grand Prix,ALO,3,HARD,27,1
Hungarian Grand Prix,BOT,1,MEDIUM,12,0
Hungarian Grand Prix,BOT,2,HARD,36,0
Hungarian Grand Prix,BOT,3,HARD,32,0
Hungarian Grand Prix,GAS,1,SOFT,1,1
Hungarian Grand Prix,HAM,1,MEDIUM,19,0
Hungarian Grand Prix,HAM,2,HARD,33,1
Hungarian Grand Prix,HAM,3,MEDIUM,24,0
Hungarian Grand Prix,HUL,1,MEDIUM,19,0
Hungarian Grand Prix,HUL,2,HARD,25,0
Hungarian Grand Prix,HUL,3,HARD,36,0
Hungarian Grand Prix,LEC,1,MEDIUM,20,0
Hungarian Grand Prix,LEC,2,HARD,26,1
